Gender,Student Age,Marital Status,Continent of Origin,Country of Origin (Nationality),Current Level of Education,Pursued Qualification,Type of University,Factors Influenced,Information Source,Previous Performance,Exam Preparatiom,Frequency of lectures Attendance,ASS Utilisation,Language of Instruction ,How satisfied are you with the feedback provided by your instructors on your academic work,How would you rate the level of academic support provided by faculty members in your department,Academic Rigour Perception, Technology Access ,Accommodation Type,Living Arrangements,Education Finance,After Studies,Quality of Education in Germany,Language Class Attendance,Levels of Language,Employment Status,District of Residence,Name of Institution,Course of Study,Religion,Spoken Languages,Satisfied Level
Male,26 - 35,Single,Africa,Ghana,Master´s Degree,Master´s Degree,Private,Foreign Exposure,Internet Search,Excellent,Participating in Study Groups,Always,No,English,Neutral,Good,Similar,"Yes, Always",Shared Apartment,Managing,"Part - Time Job, Blocked Account","Seek Employment in Germany, Pursue Further Education",Better,No,A1,"Student, Unemployed","Berlin, Hellersdorf",BSBI,Global MBA,Christianity,English,4
Male,26 - 35,Married,Africa,Ghana,Doctorate / PhD,Master´s Degree,Public,"Better Infrastucture, Foreign Exposure",Internet Search,Excellent,"Reviewing Lecture Notes, Using Online Resources",Sometimes,Yes,English,Satisfied,Good,Similar,"Yes, Always",Shared Apartment,Satisfied,Scholarships / Grants,Others,Better,Yes,A2,Employed,Brandenburg,Potsdam University,Biology,Christianity,English,4
Male,36 -45,Single,Africa,Nigeria,Master´s Degree,Master´s Degree,Public,Better Education,Agent,Excellent,Creating Study Guides,Always,No,English,Satisfied,Excellent,More Challenging,"Yes, Always",Shared Apartment,Satisfied,Personal Savings,Others,Better,No,A2,Personal,Berlin,Personal,Law,Christianity,English,4
Male,18 - 25,Single,Africa,Nigeria,Bachelor´s Degree,Master´s Degree,Public,"Better Education, Greener Pasture","Internet Search, Friend",Excellent,"Reviewing Lecture Notes, Using Online Resources",Sometimes,No,English,Neutral,Poor,More Challenging,"Yes, Always",Student Hostel,Very Satisfied,Part - Time Job,Seek Employment in Germany,Best,No,A2,Student,Brandenburg,BTU,Cybersecurity,Christianity,English,3
Female,26 - 35,Single,Africa,Nigeria,Master´s Degree,Master´s Degree,Public,"Better Education, Better Infrastucture, Foreign Exposure, Greener Pasture",Family friend,Good,"Reviewing Lecture Notes, Creating Study Guides",Sometimes,No,English,Neutral,Fair,More Challenging,"Yes, Always",Student Hostel,Managing,"Part - Time Job, Blocked Account",Seek Employment in Germany,Better,Yes,A1,Employed,Saxony Anhalt,Otto von Guericke Universität,Chemical Engineering,Christianity,English,4
Female,26 - 35,Married,Africa,Nigeria,Master´s Degree,Master´s Degree,Private,Foreign Exposure,Internet Search,Average / Fair,"Reviewing Lecture Notes, Using Online Resources",Always,No,English,Very Satisfied,Good,Less Challenging,"Yes, Always",Student Hostel,Managing,"Personal Savings, Blocked Account","Seek Employment in Germany, Pursue Further Education",Best,Yes,A1,Student,Berlin,BSBI,Digital marketing,Christianity,English,5
Male,26 - 35,Single,Africa,Nigeria,Master´s Degree,Master´s Degree,Public,"Better Education, Better Infrastucture, Foreign Exposure",Internet Search,Good,"Reviewing Lecture Notes, Using Online Resources",Always,Yes,English,Satisfied,Good,More Challenging,"Yes, Always",Student Hostel,Very Satisfied,Blocked Account,Seek Employment in Germany,Better,Yes,B1,Employed,North Rhein Westfalien,University of Siegen,Human computer interaction,Christianity,"English, German",4
Male,46 - 55,Married,Africa,Nigeria,Master´s Degree,Master´s Degree,Private,"Better Education, Foreign Exposure",Internet Search,Excellent,"Reviewing Lecture Notes, Creating Study Guides, Participating in Study Groups",Always,Yes,English,Satisfied,Good,More Challenging,"Yes, Always",Shared Apartment,Satisfied,"Part - Time Job, Blocked Account","Seek Employment in Germany, Pursue Further Education",Best,Yes,A2,Student,Marzahn,BSBI,Data Analytics,Christianity,English,4
Male,36 -45,Single,Africa,Nigeria,Master´s Degree,Master´s Degree,Private,"Better Education, Better Infrastucture, Foreign Exposure, Greener Pasture",Internet Search,Good,"Reviewing Lecture Notes, Using Online Resources",Always,Yes,English,Neutral,Excellent,Similar,"Yes, Always",Shared Apartment,Satisfied,"Personal Savings, Part - Time Job, Blocked Account",Seek Employment in Germany,Better,Yes,B1,Student,Brandenburg,BSBI,MSc International Health management,Christianity,"English, German",4
"Male, Prefer not to say","18 - 25, 26 - 35",Single,Africa,Ghana,Bachelor´s Degree,Master´s Degree,Private,Better Infrastucture,Internet Search,Good,Using Online Resources,Rarely,No,English,Satisfied,Good,Similar,"Yes, most of the time",Shared Apartment,Satisfied,Blocked Account,Others,Best,Yes,A1,Student,Berlin,BSBI,,Christianity,English,4
Female,26 - 35,Married,Africa,Ethiopia,Master´s Degree,Master´s Degree,Public,Foreign Exposure,Internet Search,Good,Reviewing Lecture Notes,Sometimes,No,English,Neutral,Good,Similar,"Yes, Always",Rented Flat,Satisfied,"Personal Savings, Part - Time Job",Seek Employment in Germany,Good,Yes,B1,"Student, Employed",Berlin,Unikassel,IFBC,Christianity,"English, German",3
Male,36 -45,Married,Africa,Ghana,Master´s Degree,Master´s Degree,Private,Better Education,Internet Search,Good,Reviewing Lecture Notes,Always,Yes,English,Satisfied,Fair,Similar,"Yes, Always",Shared Apartment,Managing,Part - Time Job,"Seek Employment in Germany, Pursue Further Education",Good,No,NA,Student,Berlin,BSBI,Information Technology Management,Christianity,English,1
Male,46 - 55,Married,Africa,Nigeria,Master´s Degree,Master´s Degree,Private,"Better Education, Better Infrastucture, Foreign Exposure, Greener Pasture",Internet Search,Good,"Reviewing Lecture Notes, Using Online Resources",Always,No,English,Satisfied,Good,More Challenging,"Yes, Always",Shared Apartment,Satisfied,"Personal Savings, Part - Time Job, Blocked Account, Loans",Seek Employment in Germany,Better,Yes,A1,Employed,Berlin,Arden University,IT Security Management,Christianity,"English, Yoruba",4
Male,26 - 35,Single,Africa,Ghana,Master´s Degree,Master´s Degree,Public,Foreign Exposure,,Good,"Reviewing Lecture Notes, Creating Study Guides, Participating in Study Groups, Using Online Resources",Always,Yes,English,"Satisfied, Neutral","Good, Fair",Similar,"Yes, Always",Student Hostel,Satisfied,"Part - Time Job, Blocked Account, Sponsorship","Seek Employment in Germany, Pursue Further Education",Better,No,B1,"Student, Employed",Berlin,Hochschule Furtwangen Universität,Master of Arts in International Relations,Christianity,"English, German, Ghanaian Language (TWI)",4
Male,26 - 35,Single,Africa,Ghana,Master´s Degree,Bachelor´s Degree,Public,Foreign Exposure,Academic Colleague,Good,"Reviewing Lecture Notes, Using Online Resources",Sometimes,Yes,English,Satisfied,Excellent,More Challenging,"Yes, Always",Shared Apartment,Managing,"Personal Savings, Blocked Account",Pursue Further Education,Better,Yes,A1,Student,Berlin,Freie Universität Berlin,MSc Geographies of Global Inequalities,Christianity,"English, Asante Twi",4
Male,26 - 35,Single,Africa,Ghana,Bachelor´s Degree,Master´s Degree,Private,"Better Education, Better Infrastucture, Foreign Exposure, Greener Pasture",Internet Search,Good,"Reviewing Lecture Notes, Creating Study Guides, Participating in Study Groups, Using Online Resources",Always,Yes,English,Very Satisfied,Excellent,Similar,"Yes, Always",Shared Apartment,Satisfied,"Part - Time Job, Blocked Account",Seek Employment in Germany,Best,No,NA,Student,Berlin,BSBI,MSc information technology management,Christianity,English,5
Female,36 -45,Married,Africa,Ghana ,Post Doctoral,Others,"Not Applicable. Currently, a researcher after the successful completion of my Ph.D. in the year 2023 at the Humboldt University of Berlin. ","Better Infrastucture, Foreign Exposure","Internet Search, Academic Colleague",Excellent,"Reviewing Lecture Notes, Creating Study Guides, Participating in Study Groups, Using Online Resources, Note: All the above answers are in relation to my Masters in Germany in the year 2013-2014 at TU Dortmund. Kindly note that, for my Ph.D., it was fully research based and was 100% examined on my dissertation. All in all, I did not need to take any other exams in relation to other courses for my Ph.D..",Always,Yes,English,Very Satisfied,Good,Similar,"Yes, most of the time",Rented Flat,Satisfied,"Scholarships / Grants, Others, From my family (spouse)",Seek Employment in Germany,Better,No,A2,Student,Berlin,No longer a student after my Ph.D.,"Based on the answers I've given already, my masrers programme was Msc. Regional Development Planning and Management (SPRING) at TU Dortmund, and my Ph.D. programme was Ph.D. in Transportation Geography. ",Christianity,"English, German",5
Male,26 - 35,Single,Africa,Ghana,Master´s Degree,Master´s Degree,Private,"Better Education, Foreign Exposure, Greener Pasture",Internet Search,Good,Personal studies,Always,Yes,English,Neutral,Fair,Less Challenging,"Yes, most of the time",Shared Apartment,Managing,"Part - Time Job, Blocked Account",Seek Employment in Germany,Good,No,A2,Student,Berlin,IU International University of Applied Sciences,Business Administration,Christianity,English,3
Female,26 - 35,Single,Africa,Ghana,Bachelor´s Degree,Bachelor´s Degree,Private,"Better Education, Better Infrastucture, Foreign Exposure, Greener Pasture",Academic Colleague,Good,"Reviewing Lecture Notes, Participating in Study Groups, Using Online Resources",Sometimes,No,English,Dissatisfied,Fair,More Challenging,"Yes, Always",Student Hostel,Managing,"Blocked Account, Others",Others,Good,Yes,B1,Student,Berlin,BSBI,Health management,Christianity,English,3
Female,36 -45,Single,Africa,Ghana,Bachelor´s Degree,Bachelor´s Degree,Private,Better Education,Internet Search,Good,Reviewing Lecture Notes,Always,Yes,English,Very Satisfied,Fair,More Challenging,"Yes, Always",Shared Apartment,Managing,Blocked Account,Return to my home country,Better,No,A1,Employed,Lower Saxony,BSBI,International health management,Christianity,,4
Male,26 - 35,Single,Africa,Ghana,Master´s Degree,Master´s Degree,Private,Better Infrastucture,Internet Search,"Excellent, Good",Using Online Resources,Always,Yes,English,Satisfied,Good,Less Challenging,"Yes, Always",Shared Apartment,Satisfied,Blocked Account,Seek Employment in Germany,Better,Yes,A1,Student,Berlin,BSBI,MSc Data Analytics,Christianity,English,5
